Название товара,Цена товара,Ссылка на товар
"Оперативная память Goodram Iridium [IR-1600D364L11S/4G] 4 ГБ [DDR3, 4 ГБx1 шт, 1600 МГц, PC12800, 11-11-11]",2299,https://www.dns-shop.ru/product/1afaf0f0c7c11b80/operativnaa-pamat-goodram-iridium-ir-1600d364l11s4g-4-gb/
"Оперативная память Goodram Iridium [IR-X3000D464L16S/4G] 4 ГБ [DDR4, 4 ГБx1 шт, 3000 МГц, PC24000, 16-18-18-36]",2299,https://www.dns-shop.ru/product/f994679179cc3330/operativnaa-pamat-goodram-iridium-ir-x3000d464l16s4g-4-gb/
"Оперативная память Goodram [GR1333D364L9/4G] 4 ГБ [DDR3, 4 ГБx1 шт, 1333 МГц, PC10600, 9-9-9-24]",2299,https://www.dns-shop.ru/product/184728f4fc983330/operativnaa-pamat-goodram-gr1333d364l94g-4-gb/
"Оперативная память Goodram [GR1333D364L9S/4G] 4 ГБ [DDR3, 4 ГБx1 шт, 1333 МГц, PC10600, 9-9-9-24]",2299,https://www.dns-shop.ru/product/184728f5fc983330/operativnaa-pamat-goodram-gr1333d364l9s4g-4-gb/
"Оперативная память Goodram [GR1600D364L11S/4G] 4 ГБ [DDR3, 4 ГБx1 шт, 1600 МГц, PC12800, 11-11-11-28]",2299,https://www.dns-shop.ru/product/184728f7fc983330/operativnaa-pamat-goodram-gr1600d364l11s4g-4-gb/
"Оперативная память Hynix [H5TQ2G83CFR-H9C] 4 ГБ [DDR3, 4 ГБx1 шт, 1333 МГц, PC10600, 9-9-9]",2299,https://www.dns-shop.ru/product/978a2b3506423330/operativnaa-pamat-hynix-h5tq2g83cfr-h9c-4-gb/
"Оперативная память Hynix [H5TQ2G83CFR-PBC] 4 ГБ [DDR3, 4 ГБx1 шт, 1600 МГц, PC12800, 11-11-11]",2299,https://www.dns-shop.ru/product/29d60d9e06433330/operativnaa-pamat-hynix-h5tq2g83cfr-pbc-4-gb/
"Оперативная память Kingston ValueRAM [KVR800D2N6/2G] 2 ГБ [DDR2, 2 ГБx1 шт, 800 МГц, PC6400, 6-6-6-15]",2299,https://www.dns-shop.ru/product/4b972e55f3c16f9f/operativnaa-pamat-kingston-valueram-kvr800d2n62g-2-gb/
"Оперативная память Samsung [M378A5244CB0-CRC] 4 ГБ [DDR4, 4 ГБx1 шт, 2400 МГц, PC19200, 17-17-17-40]",2299,https://www.dns-shop.ru/product/acdb3ae718103330/operativnaa-pamat-samsung-m378a5244cb0-crc-4-gb/
"Оперативная память Samsung [M378A5244CB0-CTD] 4 ГБ [DDR4, 4 ГБx1 шт, 2666 МГц, PC21300, 19-19-19-32]",2350,https://www.dns-shop.ru/product/d3916352e6441b80/operativnaa-pamat-samsung-m378a5244cb0-ctd-4-gb/
"Оперативная память Kingston ValueRAM [KVR24N17S6/4] 4 ГБ [DDR4, 4 ГБx1 шт, 2400 МГц, PC19200, 17-17-17-32]",2399,https://www.dns-shop.ru/product/b48f67e3d5973330/operativnaa-pamat-kingston-valueram-kvr24n17s64-4-gb/
"Оперативная память Kingston ValueRAM [KVR26N19S6/4] 4 ГБ [DDR4, 4 ГБx1 шт, 2666 МГц, PC4-21300, 19-19-19-32]",2399,https://www.dns-shop.ru/product/416e21b515503332/operativnaa-pamat-kingston-valueram-kvr26n19s64-4-gb/
"Оперативная память Kingston HyperX FURY Black [HX426C16FB3/4] 4 ГБ [DDR4, 4 ГБx1 шт, 2666 МГц, PC21300, 16-18-18-29]",2499,https://www.dns-shop.ru/product/6eb5b9d5c2133332/operativnaa-pamat-kingston-hyperx-fury-black-hx426c16fb34-4-gb/
"Оперативная память Kingston ValueRAM [KVR16N11S8/4] 4 ГБ [DDR3, 4 ГБx1 шт, 1600 МГц, PC12800, 11-11-11-35]",2499,https://www.dns-shop.ru/product/4acc50e8ccf6615e/operativnaa-pamat-kingston-valueram-kvr16n11s84-4-gb/
"Оперативная память Kingston ValueRAM [KVR32N22S6/4] 4 ГБ [DDR4, 4 ГБx1 шт, 3200 МГц, PC25600, 22-22-22-32]",2499,https://www.dns-shop.ru/product/8c31229ab41f3332/operativnaa-pamat-kingston-valueram-kvr32n22s64-4-gb/
"Оперативная память Kingston [KCP424NS6/4] 4 ГБ [DDR4, 4 ГБx1 шт, 2400 МГц, PC19200, 17]",2499,https://www.dns-shop.ru/product/e5371002c5323332/operativnaa-pamat-kingston-kcp424ns64-4-gb/
"Серверная оперативная память Crucial [CT4G4RFS8266] 4 ГБ [DDR4, 4 ГБx1 шт, 2666 МГц, PC21300, 19-19-19]",2499,https://www.dns-shop.ru/product/9fb8892bd04e1b80/servernaa-operativnaa-pamat-crucial-ct4g4rfs8266-4-gb/
